detector,rho_px,theta_deg,occ_pct_target,occ_pct_actual,recall_hat,recall_nohat,conf_mean,conf_std,n_gt,n_tp,n_fp,n_gt_hat,n_gt_person,occ_pct_box
yolo26n,12,0,30,30.48,0.3933,0.1034,0.5896,0.1942,1907,352,235,534,1373,30.32
yolo26n,12,0,45,45.21,0.1948,0.0146,0.5396,0.18,1907,124,93,534,1373,45.05
yolo26n,12,0,60,60.32,0.0075,0.0,0.503,0.0781,1907,4,8,534,1373,60.1
yolo26n,12,0,75,75.38,0.0,0.0,,,1907,0,0,534,1373,75.01
yolo26n,12,15,0,0.0,0.8989,0.8769,0.7836,0.1494,1907,1684,543,534,1373,0.0
yolo26n,12,15,15,15.33,0.4813,0.2782,0.6437,0.1878,1907,639,420,534,1373,15.03
yolo26n,12,15,30,30.48,0.412,0.0947,0.5869,0.1998,1907,350,236,534,1373,30.09
yolo26n,12,15,45,45.21,0.2041,0.0138,0.5326,0.1757,1907,128,96,534,1373,44.71
yolo26n,12,15,60,60.32,0.0112,0.0,0.3774,0.1323,1907,6,7,534,1373,59.69
yolo26n,12,15,75,75.38,0.0,0.0,,,1907,0,0,534,1373,74.72
yolo26n,12,30,0,0.0,0.9007,0.8733,0.7794,0.1502,1907,1680,595,534,1373,0.0
yolo26n,12,30,15,15.33,0.5056,0.319,0.6351,0.1937,1907,708,435,534,1373,14.98
yolo26n,12,30,30,30.48,0.4213,0.1151,0.5856,0.1944,1907,383,266,534,1373,30.2
yolo26n,12,30,45,45.21,0.2022,0.0197,0.5657,0.1748,1907,135,118,534,1373,45.07
yolo26n,12,30,60,60.32,0.0281,0.0,0.5316,0.1689,1907,15,8,534,1373,60.33
yolo26n,12,30,75,75.38,0.0,0.0,,,1907,0,0,534,1373,75.36
yolo26n,12,45,0,0.0,0.8633,0.8201,0.7568,0.1573,1907,1587,695,534,1373,0.0
yolo26n,12,45,15,15.33,0.4551,0.3023,0.633,0.1929,1907,658,422,534,1373,14.78
yolo26n,12,45,30,30.48,0.3708,0.11,0.5858,0.1949,1907,349,219,534,1373,29.85
yolo26n,12,45,45,45.21,0.1985,0.0146,0.5564,0.177,1907,126,114,534,1373,44.65
yolo26n,12,45,60,60.32,0.0169,0.0,0.481,0.1452,1907,9,15,534,1373,59.83
yolo26n,12,45,75,75.38,0.0,0.0,,,1907,0,0,534,1373,75.0
yolo26n,12,60,0,0.0,0.5712,0.4217,0.6683,0.1888,1907,884,516,534,1373,0.0
yolo26n,12,60,15,15.33,0.2228,0.0743,0.5961,0.1874,1907,221,255,534,1373,15.07
yolo26n,12,60,30,30.48,0.1348,0.0255,0.5487,0.1902,1907,107,128,534,1373,30.19
yolo26n,12,60,45,45.21,0.0562,0.0007,0.4928,0.1765,1907,31,74,534,1373,44.87
yolo26n,12,60,60,60.32,0.0094,0.0,0.3672,0.1309,1907,5,17,534,1373,60.0
yolo26n,12,60,75,75.38,0.0,0.0,,,1907,0,0,534,1373,74.92
yolo26n,12,75,0,0.0,0.0094,0.0044,0.6159,0.2343,1907,11,7,534,1373,0.0
yolo26n,12,75,15,15.33,0.0019,0.0,0.509,,1907,1,14,534,1373,15.09
yolo26n,12,75,30,30.48,0.0,0.0,,,1907,0,10,534,1373,30.15
yolo26n,12,75,45,45.21,0.0,0.0,,,1907,0,9,534,1373,44.77
yolo26n,12,75,60,60.32,0.0,0.0,,,1907,0,1,534,1373,59.7
yolo26n,12,75,75,75.38,0.0,0.0,,,1907,0,0,534,1373,74.67
yolo26n,8,0,0,0.0,0.794,0.7524,0.745,0.1644,1907,1457,405,534,1373,0.0
yolo26n,8,0,15,15.33,0.2996,0.0794,0.602,0.1976,1907,269,132,534,1373,15.11
yolo26n,8,0,30,30.48,0.2191,0.0313,0.5545,0.1803,1907,160,77,534,1373,30.32
yolo26n,8,0,45,45.21,0.0787,0.0044,0.4856,0.1637,1907,48,31,534,1373,45.05
yolo26n,8,0,60,60.32,0.0019,0.0,0.2643,,1907,1,3,534,1373,60.1
yolo26n,8,0,75,75.38,0.0,0.0,,,1907,0,0,534,1373,75.01
yolo26n,8,15,0,0.0,0.8052,0.7444,0.7349,0.1712,1907,1452,386,534,1373,0.0
yolo26n,8,15,15,15.33,0.3071,0.0932,0.597,0.1962,1907,292,157,534,1373,15.03
yolo26n,8,15,30,30.48,0.2303,0.0291,0.5486,0.1909,1907,163,82,534,1373,30.09
yolo26n,8,15,45,45.21,0.1049,0.0051,0.4736,0.1453,1907,63,28,534,1373,44.71
yolo26n,8,15,60,60.32,0.0019,0.0,0.4316,,1907,1,2,534,1373,59.69
yolo26n,8,15,75,75.38,0.0,0.0,,,1907,0,0,534,1373,74.72
yolo26n,8,30,0,0.0,0.7865,0.7473,0.7364,0.1679,1907,1446,429,534,1373,0.0
yolo26n,8,30,15,15.33,0.3071,0.1092,0.6122,0.1908,1907,314,135,534,1373,14.98
yolo26n,8,30,30,30.48,0.2322,0.0342,0.5595,0.1945,1907,171,77,534,1373,30.2
yolo26n,8,30,45,45.21,0.0899,0.008,0.52,0.1619,1907,59,30,534,1373,45.07
yolo26n,8,30,60,60.32,0.0075,0.0,0.4456,0.1116,1907,4,1,534,1373,60.33
yolo26n,8,30,75,75.38,0.0,0.0,,,1907,0,0,534,1373,75.36
yolo26n,8,45,0,0.0,0.7247,0.6708,0.7183,0.1703,1907,1308,435,534,1373,0.0
yolo26n,8,45,15,15.33,0.294,0.1042,0.5919,0.1855,1907,300,163,534,1373,14.78
yolo26n,8,45,30,30.48,0.2135,0.0371,0.5663,0.1842,1907,165,88,534,1373,29.85
yolo26n,8,45,45,45.21,0.0918,0.0058,0.4661,0.1703,1907,57,47,534,1373,44.65
yolo26n,8,45,60,60.32,0.0056,0.0,0.3526,0.0621,1907,3,2,534,1373,59.83
yolo26n,8,45,75,75.38,0.0,0.0,,,1907,0,0,534,1373,75.0
yolo26n,8,60,0,0.0,0.4007,0.2411,0.6545,0.1852,1907,545,195,534,1373,0.0
yolo26n,8,60,15,15.33,0.1067,0.0255,0.5758,0.1857,1907,92,85,534,1373,15.07
yolo26n,8,60,30,30.48,0.0543,0.0058,0.5372,0.219,1907,37,43,534,1373,30.19
yolo26n,8,60,45,45.21,0.0281,0.0,0.4244,0.1636,1907,15,26,534,1373,44.87
yolo26n,8,60,60,60.32,0.0037,0.0,0.3172,0.0175,1907,2,2,534,1373,60.0
yolo26n,8,60,75,75.38,0.0,0.0,,,1907,0,0,534,1373,74.92
yolo26n,8,75,0,0.0,0.0056,0.0029,0.6019,0.222,1907,7,3,534,1373,0.0
yolo26n,8,75,15,15.33,0.0,0.0,,,1907,0,5,534,1373,15.09
yolo26n,8,75,30,30.48,0.0,0.0,,,1907,0,4,534,1373,30.15
yolo26n,8,75,45,45.21,0.0,0.0,,,1907,0,5,534,1373,44.77
yolo26n,8,75,60,60.32,0.0,0.0,,,1907,0,1,534,1373,59.7
yolo26n,8,75,75,75.38,0.0,0.0,,,1907,0,0,534,1373,74.67
yolo26n,6,0,0,0.0,0.6311,0.5535,0.6931,0.1824,1907,1097,285,534,1373,0.0
yolo26n,6,0,15,15.33,0.1742,0.0255,0.5723,0.1988,1907,128,41,534,1373,15.11
yolo26n,6,0,30,30.48,0.1161,0.0095,0.4899,0.1809,1907,75,30,534,1373,30.32
yolo26n,6,0,45,45.21,0.0318,0.0015,0.4335,0.0708,1907,19,15,534,1373,45.05
yolo26n,6,0,60,60.32,0.0,0.0,,,1907,0,0,534,1373,60.1
