rho_px,theta_deg,occ_pct_target,occ_pct_actual,recall_hat,recall_nohat,conf_mean,conf_std,n_gt,n_tp,n_fp,n_gt_hat,n_gt_person,occ_pct_box
12,45,0,0.0,0.8483,0.8434,0.7229,0.1423,1907,1611,897,534,1373,0.0
12,45,15,15.33,0.3652,0.3052,0.6261,0.1634,1907,614,809,534,1373,14.78
12,45,30,30.48,0.1273,0.0823,0.5542,0.1691,1907,181,262,534,1373,29.85
12,45,45,45.21,0.0318,0.0248,0.4907,0.1537,1907,51,74,534,1373,44.65
12,45,60,60.32,0.0037,0.0007,0.3664,0.1025,1907,3,14,534,1373,59.83
12,45,75,75.38,0.0,0.0,,,1907,0,3,534,1373,75.0
12,60,0,0.0,0.5262,0.4414,0.6334,0.1697,1907,887,892,534,1373,0.0
12,60,15,15.33,0.2191,0.1173,0.5532,0.1539,1907,278,529,534,1373,15.07
12,60,30,30.48,0.0356,0.0204,0.5094,0.1647,1907,47,104,534,1373,30.19
12,60,45,45.21,0.0075,0.0044,0.4276,0.1355,1907,10,21,534,1373,44.87
12,60,60,60.32,0.0,0.0,,,1907,0,5,534,1373,60.0
12,60,75,75.38,0.0,0.0,,,1907,0,2,534,1373,74.92
12,75,0,0.0,0.0037,0.0066,0.5384,0.226,1907,11,2,534,1373,0.0
12,75,15,15.33,0.0056,0.0,0.3129,0.005,1907,3,12,534,1373,15.09
12,75,30,30.48,0.0,0.0,,,1907,0,0,534,1373,30.15
12,75,45,45.21,0.0,0.0,,,1907,0,0,534,1373,44.77
12,75,60,60.32,0.0,0.0,,,1907,0,0,534,1373,59.7
12,75,75,75.38,0.0,0.0,,,1907,0,0,534,1373,74.67
8,0,0,0.0,0.7004,0.7669,0.7086,0.149,1907,1427,499,534,1373,0.0
8,0,15,15.33,0.1985,0.1114,0.5808,0.1763,1907,259,109,534,1373,15.11
8,0,30,30.48,0.0693,0.0364,0.5113,0.1616,1907,87,29,534,1373,30.32
8,0,45,45.21,0.0225,0.0087,0.4274,0.11,1907,24,12,534,1373,45.05
8,0,60,60.32,0.0019,0.0007,0.4373,0.038,1907,2,3,534,1373,60.1
8,0,75,75.38,0.0,0.0,,,1907,0,0,534,1373,75.01
8,15,0,0.0,0.7004,0.7597,0.7125,0.1482,1907,1417,513,534,1373,0.0
8,15,15,15.33,0.2097,0.1209,0.579,0.1735,1907,278,124,534,1373,15.03
8,15,30,30.48,0.0712,0.0291,0.5343,0.1641,1907,78,33,534,1373,30.09
8,15,45,45.21,0.0206,0.0066,0.4795,0.1295,1907,20,16,534,1373,44.71
8,15,60,60.32,0.0019,0.0,0.3388,,1907,1,2,534,1373,59.69
8,15,75,75.38,0.0,0.0,,,1907,0,0,534,1373,74.72
8,30,0,0.0,0.7154,0.7597,0.7095,0.1485,1907,1425,559,534,1373,0.0
8,30,15,15.33,0.1873,0.1537,0.5824,0.1761,1907,311,196,534,1373,14.98
8,30,30,30.48,0.0674,0.0379,0.5352,0.1648,1907,88,47,534,1373,30.2
8,30,45,45.21,0.0262,0.0131,0.5067,0.1607,1907,32,23,534,1373,45.07
8,30,60,60.32,0.0,0.0007,0.2914,,1907,1,2,534,1373,60.33
8,30,75,75.38,0.0,0.0,,,1907,0,2,534,1373,75.36
8,45,0,0.0,0.6723,0.6956,0.6864,0.1535,1907,1314,681,534,1373,0.0
8,45,15,15.33,0.1704,0.1377,0.5883,0.1683,1907,280,327,534,1373,14.78
8,45,30,30.48,0.0524,0.035,0.5392,0.1447,1907,76,73,534,1373,29.85
8,45,45,45.21,0.0206,0.0102,0.4996,0.1491,1907,25,16,534,1373,44.65
8,45,60,60.32,0.0019,0.0007,0.3628,0.0405,1907,2,3,534,1373,59.83
8,45,75,75.38,0.0,0.0,,,1907,0,1,534,1373,75.0
8,60,0,0.0,0.3446,0.2884,0.6064,0.1668,1907,580,428,534,1373,0.0
